#{"t_start": 1734308162.8085334, "env_id": "None"}
r,l,t
0.99,1,73.128276
0.99,1,73.128276
0.98,2,73.130275
0.98,2,73.131276
0.98,2,73.134275
0.99,1,73.134275
0.99,1,73.134275
0.97,3,73.134275
0.96,4,73.139275
0.94,6,73.153308
0.94,6,73.153308
0.96,4,73.155277
0.93,7,73.155277
0.99,1,73.155277
0.99,1,73.156277
0.92,8,73.156277
0.98,2,73.159274
0.94,6,73.166275
0.92,8,73.167421
0.98,2,73.168427
0.87,13,73.169425
0.94,6,73.170424
0.99,1,73.171425
0.99,1,73.172424
0.98,2,73.177424
0.99,1,73.177424
0.91,9,73.177424
0.95,5,73.177424
0.99,1,73.178424
0.99,1,73.178424
0.99,1,73.179424
0.88,12,73.179424
0.97,3,73.180424
0.92,8,73.180424
0.84,16,73.180424
0.88,12,73.180424
0.99,1,73.181424
0.98,2,73.186424
0.9,10,73.187421
0.96,4,73.188421
0.97,3,73.188421
0.93,7,73.188421
0.99,1,73.19042
0.99,1,73.19042
0.98,2,73.19042
0.93,7,73.191421
0.99,1,73.191421
0.99,1,73.195421
0.96,4,73.196421
0.91,9,73.196421
0.75,25,73.197421
0.88,12,73.198421
0.94,6,73.200421
0.89,11,73.200421
0.99,1,73.200421
0.97,3,73.200421
0.99,1,73.204421
0.99,1,73.204421
0.99,1,73.204421
0.99,1,73.205421
0.93,7,73.205421
0.94,6,73.206421
0.98,2,73.206421
0.99,1,73.207421
0.98,2,73.207421
0.95,5,73.209421
0.99,1,73.209421
0.93,7,73.209421
0.89,11,73.209421
0.99,1,73.213421
0.99,1,73.213421
0.99,1,73.213421
0.99,1,73.214487
0.94,6,73.214487
0.99,1,73.215492
0.88,12,73.215492
0.98,2,73.215492
0.95,5,73.215492
0.99,1,73.216492
0.99,1,73.218492
0.95,5,73.218492
0.98,2,73.218492
0.98,2,73.223492
0.97,3,73.22849
0.9,10,73.238568
0.91,9,73.239568
0.87,13,73.241568
0.91,9,73.246665
0.83,17,73.246665
0.99,1,73.246665
0.98,2,73.249664
0.9,10,73.249664
0.82,18,73.251667
0.84,16,73.251667
0.97,3,73.252665
0.94,6,73.252665
0.98,2,73.254664
0.99,1,73.254664
0.99,1,73.254664
0.98,2,73.261665
0.95,5,73.261665
0.97,3,73.262662
0.99,1,73.264663
0.97,3,73.264663
0.98,2,73.264663
0.99,1,73.265663
0.96,4,73.265663
0.99,1,73.265663
0.93,7,73.267665
0.99,1,73.267665
0.6,40,73.274666
0.98,2,73.274666
0.97,3,73.278669
0.98,2,73.278669
0.98,2,73.278669
0.86,14,73.278669
0.92,8,73.278669
0.95,5,73.278669
0.99,1,73.279665
0.92,8,73.279665
0.94,6,73.280669
0.97,3,73.285668
0.98,2,73.285668
0.96,4,73.287668
0.99,1,73.287668
0.99,1,73.288668
0.96,4,73.288668
0.99,1,73.289669
0.99,1,73.290668
0.99,1,73.296665
0.89,11,73.296665
0.97,3,73.296665
0.92,8,73.296665
0.95,5,73.297665
0.99,1,73.297665
0.99,1,73.299665
0.98,2,73.300665
0.96,4,73.302665
0.88,12,73.302665
0.96,4,73.302665
0.96,4,73.302665
0.87,13,73.308665
0.99,1,73.308665
0.96,4,73.310665
0.99,1,73.310665
0.98,2,73.310665
0.88,12,73.311665
0.98,2,73.313664
0.96,4,73.313664
0.99,1,73.314665
0.93,7,73.320665
0.96,4,73.322664
0.97,3,73.324666
0.96,4,73.324666
0.98,2,73.326666
0.92,8,73.329666
0.99,1,73.329666
0.99,1,73.349666
0.94,6,73.351667
0.89,11,73.351667
0.87,13,73.353667
0.99,1,73.353667
0.93,7,73.363665
0.94,6,73.363665
0.92,8,73.363665
0.99,1,73.364666
0.98,2,73.366667
0.98,2,73.366667
0.36,64,73.375813
0.8,20,73.376888
0.91,9,73.377893
0.9,10,73.37889
0.98,2,73.382888
0.93,7,73.389888
0.64,36,73.389888
0.98,2,73.391888
0.91,9,73.393888
0.99,1,73.393888
0.78,22,73.394889
0.91,9,73.394889
0.96,4,73.394889
0.92,8,73.394889
0.99,1,73.40189
0.76,24,73.403888
0.96,4,73.404891
0.98,2,73.40689
0.95,5,73.40689
0.97,3,73.40689
0.9,10,73.408889
0.87,13,73.408889
0.98,2,73.414887
0.98,2,73.414887
0.94,6,73.414887
0.99,1,73.416887
0.93,7,73.416887
0.99,1,73.417887
0.97,3,73.419887
0.99,1,73.419887
0.96,4,73.419887
0.98,2,73.419887
0.99,1,73.420887
0.78,22,73.429887
0.9,10,73.431889
0.91,9,73.431889
0.97,3,73.431889
0.99,1,73.431889
0.99,1,73.43389
0.92,8,73.43389
0.86,14,73.43389
0.93,7,73.44289
0.97,3,73.44289
0.99,1,73.45089
0.91,9,73.452889
0.99,1,73.452889
0.99,1,73.454888
0.94,6,73.45696
0.98,2,73.45696
0.99,1,73.465963
0.97,3,73.46796
0.91,9,73.469963
0.99,1,73.469963
0.9,10,73.469963
0.85,15,73.471962
0.92,8,73.471962
0.99,1,73.473962
0.78,22,73.484964
0.93,7,73.484964
0.96,4,73.484964
0.97,3,73.484964
0.99,1,73.486962
0.99,1,73.488966
0.92,8,73.488966
0.94,6,73.488966
0.83,17,73.491963
0.99,1,73.491963
0.97,3,73.491963
0.84,16,73.491963
0.99,1,73.491963
0.97,3,73.491963
0.93,7,73.491963
0.99,1,73.502048
0.99,1,73.502048
0.99,1,73.503049
0.94,6,73.50513
0.99,1,73.506131
0.96,4,73.506131
0.9,10,73.507212
0.94,6,73.514214
0.93,7,73.516216
0.98,2,73.516216
0.91,9,73.519214
0.98,2,73.520214
0.99,1,73.521213
0.94,6,73.521213
0.88,12,73.529216
0.97,3,73.531213
0.98,2,73.534213
0.9,10,73.534213
0.99,1,73.536311
0.99,1,73.536311
0.93,7,73.543382
0.98,2,73.544464
0.9,10,73.544464
0.99,1,73.546465
0.88,12,73.546465
0.83,17,73.546465
0.99,1,73.546465
0.99,1,73.548466
0.98,2,73.550467
0.99,1,73.550467
0.98,2,73.550467
0.99,1,73.561626
0.99,1,73.561626
0.99,1,73.563626
0.96,4,73.567623
0.9,10,73.567623
0.89,11,73.574625
0.74,26,73.576627
0.71,29,73.576627
0.94,6,73.576627
0.99,1,73.576627
0.96,4,73.578626
0.95,5,73.579625
0.98,2,73.579625
0.97,3,73.585625
0.89,11,73.585625
0.96,4,73.587626
0.78,22,73.587626
0.8,20,73.588625
0.95,5,73.590624
0.97,3,73.591624
0.96,4,73.591624
0.99,1,73.597626
0.98,2,73.597626
0.95,5,73.597626
0.99,1,73.599626
0.94,6,73.600625
0.91,9,73.602625
0.97,3,73.603625
0.96,4,73.603625
0.95,5,73.603625
0.92,8,73.609625
0.97,3,73.611626
0.88,12,73.611626
0.76,24,73.611626
0.93,7,73.613627
0.99,1,73.613627
0.98,2,73.614626
0.99,1,73.614626
0.96,4,73.624625
0.98,2,73.624625
0.98,2,73.624625
0.99,1,73.627626
0.92,8,73.629626
0.93,7,73.629626
0.99,1,73.629626
0.95,5,73.629626
0.91,9,73.631627
0.78,22,73.633626
0.97,3,73.64163
0.95,5,73.64163
0.98,2,73.64163
0.99,1,73.643627
0.93,7,73.645696
0.97,3,73.646763
0.86,14,73.647763
0.99,1,73.648763
0.96,4,73.648763
0.93,7,73.648763
0.93,7,73.656762
0.96,4,73.658762
0.97,3,73.658762
0.98,2,73.659761
0.78,22,73.660762
0.92,8,73.671768
0.98,2,73.672768
0.96,4,73.672768
0.86,14,73.672768
0.99,1,73.672768
0.96,4,73.672768
0.99,1,73.674765
0.99,1,73.674765
0.99,1,73.674765
0.92,8,73.674765
0.96,4,73.674765
0.99,1,73.674765
0.97,3,73.682767
0.87,13,73.685766
0.94,6,73.686765
0.77,23,73.694767
0.92,8,73.694767
0.96,4,73.695764
0.9,10,73.695764
0.91,9,73.695764
0.99,1,73.697765
0.96,4,73.697765
0.79,21,73.697765
0.99,1,73.699763
0.89,11,73.699763
0.98,2,73.707765
0.98,2,73.707765
0.95,5,73.709766
0.94,6,73.709766
0.89,11,73.709766
0.94,6,73.711766
0.92,8,73.714767
0.98,2,73.714767
0.99,1,73.716902
0.98,2,73.716902
0.91,9,73.723904
0.96,4,73.725987
0.97,3,73.725987
0.99,1,73.727053
0.89,11,73.727053
0.96,4,73.727053
0.99,1,73.729054
0.99,1,73.735053
0.89,11,73.737054
0.9,10,73.737054
0.99,1,73.739054
0.98,2,73.739054
0.96,4,73.739054
0.93,7,73.740052
0.99,1,73.741052
0.93,7,73.741052
0.97,3,73.747055
0.84,16,73.748052
0.99,1,73.749054
0.99,1,73.750053
0.94,6,73.750053
0.94,6,73.751053
0.9,10,73.752053
0.98,2,73.752053
0.94,6,73.752053
0.99,1,73.753056
0.99,1,73.753056
0.98,2,73.758053
0.94,6,73.758053
0.98,2,73.759055
0.96,4,73.761053
0.95,5,73.761053
0.95,5,73.761053
0.99,1,73.763055
0.97,3,73.763055
0.99,1,73.763055
0.63,37,73.764054
0.98,2,73.772053
0.99,1,73.772053
0.96,4,73.779053
0.92,8,73.781058
0.92,8,73.783053
0.99,1,73.783053
0.94,6,73.784055
0.99,1,73.784055
0.99,1,73.791055
0.82,18,73.793057
0.69,31,73.793057
0.89,11,73.793057
0.92,8,73.794056
0.93,7,73.794056
0.9,10,73.794056
0.99,1,73.795057
0.98,2,73.801125
