#{"t_start": 1734308162.811527, "env_id": "None"}
r,l,t
0.99,1,94.578909
0.99,1,94.578909
0.98,2,94.579909
0.99,1,94.579909
0.99,1,94.579909
0.99,1,94.580909
0.97,3,94.580909
0.96,4,94.58191
0.96,4,94.58191
0.96,4,94.58191
0.96,4,94.58191
0.99,1,94.582909
0.99,1,94.583909
0.92,8,94.585909
0.95,5,94.585909
0.93,7,94.58691
0.9,10,94.598907
0.91,9,94.598907
0.94,6,94.598907
0.92,8,94.598907
0.88,12,94.599906
0.88,12,94.599906
0.99,1,94.601907
0.91,9,94.601907
0.82,18,94.602906
0.98,2,94.602906
0.98,2,94.602906
0.98,2,94.603906
0.93,7,94.603906
0.98,2,94.606906
0.8,20,94.606906
0.87,13,94.606906
0.92,8,94.606906
0.99,1,94.607906
0.91,9,94.607906
0.94,6,94.607906
0.94,6,94.610906
0.95,5,94.610906
0.99,1,94.611906
0.85,15,94.611906
0.93,7,94.614907
0.98,2,94.614907
0.88,12,94.614907
0.93,7,94.614907
0.99,1,94.614907
0.98,2,94.615906
0.89,11,94.617906
0.95,5,94.617906
0.88,12,94.617906
0.99,1,94.617906
0.95,5,94.618906
0.95,5,94.618906
0.99,1,94.618906
0.98,2,94.618906
0.82,18,94.621906
0.98,2,94.621906
0.99,1,94.622908
0.95,5,94.622908
0.99,1,94.623908
0.99,1,94.623908
0.94,6,94.623908
0.98,2,94.623908
0.84,16,94.624907
0.96,4,94.624907
0.99,1,94.624907
0.98,2,94.627907
0.99,1,94.627907
0.91,9,94.627907
0.99,1,94.628908
0.88,12,94.629907
0.98,2,94.629907
0.96,4,94.629907
0.97,3,94.630906
0.99,1,94.630906
0.99,1,94.633907
0.95,5,94.633907
0.99,1,94.634906
0.99,1,94.634906
0.98,2,94.634906
0.9,10,94.637906
0.77,23,94.637906
0.87,13,94.637906
0.99,1,94.638906
0.95,5,94.638906
0.91,9,94.638906
0.88,12,94.641906
0.98,2,94.642906
0.84,16,94.642906
0.99,1,94.645906
0.85,15,94.645906
0.94,6,94.645906
0.99,1,94.646907
0.97,3,94.646907
0.99,1,94.646907
0.99,1,94.649906
0.94,6,94.649906
0.98,2,94.649906
0.87,13,94.649906
