#{"t_start": 1734308162.7988536, "env_id": "None"}
r,l,t
0.99,1,1.572501
0.99,1,1.572501
0.99,1,1.573501
0.99,1,1.573501
0.99,1,1.574193
0.99,1,1.574193
0.98,2,1.574193
0.97,3,1.574193
0.97,3,1.574193
0.97,3,1.574193
0.99,1,1.574193
0.98,2,1.574193
0.96,4,1.574193
0.96,4,1.574193
0.99,1,1.574193
0.99,1,1.574193
0.94,6,1.574193
0.99,1,1.574193
0.93,7,1.574193
0.96,4,1.574193
0.94,6,1.574193
0.98,2,1.574193
0.99,1,1.574193
0.96,4,1.574193
0.99,1,1.574193
0.95,5,1.574193
0.97,3,1.574193
0.99,1,1.574193
0.97,3,1.574193
0.99,1,1.574193
0.98,2,1.574193
0.99,1,1.574193
0.99,1,1.574193
0.99,1,1.574193
0.99,1,1.589858
0.98,2,1.589858
0.96,4,1.593457
0.88,12,1.593457
0.98,2,1.593457
0.87,13,1.593457
0.9,10,1.593457
0.9,10,1.593457
0.95,5,1.593457
0.97,3,1.593457
0.99,1,1.593457
0.99,1,1.593457
0.94,6,1.593457
0.98,2,1.593457
0.95,5,1.593457
0.99,1,1.593457
0.93,7,1.593457
0.99,1,1.593457
0.99,1,1.593457
0.85,15,1.607382
0.81,19,1.607382
0.9,10,1.609391
0.97,3,1.609391
0.94,6,1.610192
0.99,1,1.610192
0.99,1,1.610192
0.99,1,1.610192
0.99,1,1.610192
0.93,7,1.610192
0.97,3,1.610192
0.98,2,1.610192
0.93,7,1.610192
0.93,7,1.610192
0.99,1,1.610192
0.95,5,1.610192
0.86,14,1.610192
0.99,1,1.610192
0.9,10,1.610192
0.98,2,1.610192
0.97,3,1.610192
0.95,5,1.610192
0.99,1,1.610192
0.71,29,1.610192
0.99,1,1.610192
0.95,5,1.610192
0.98,2,1.610192
0.84,16,1.624032
0.99,1,1.624032
0.97,3,1.624032
0.91,9,1.624032
0.96,4,1.628072
0.94,6,1.629072
0.94,6,1.631073
0.88,12,1.631073
0.92,8,1.632072
0.87,13,1.632072
0.99,1,1.633072
0.92,8,1.633072
0.92,8,1.633072
0.98,2,1.635075
0.98,2,1.636073
0.98,2,1.63707
0.94,6,1.63707
0.99,1,1.63707
0.97,3,1.63707
0.99,1,1.639074
0.87,13,1.639074
0.81,19,1.639074
0.99,1,1.640073
0.9,10,1.640945
0.99,1,1.640945
0.97,3,1.640945
0.97,3,1.643028
0.9,10,1.64403
0.98,2,1.645028
0.91,9,1.645028
0.95,5,1.645028
0.99,1,1.647028
0.98,2,1.647028
0.98,2,1.648027
0.98,2,1.649027
0.91,9,1.649027
0.99,1,1.650027
0.97,3,1.650027
0.99,1,1.651993
0.91,9,1.65303
0.98,2,1.654027
0.89,11,1.65503
0.88,12,1.656128
0.98,2,1.657956
0.99,1,1.657956
0.89,11,1.658985
0.91,9,1.658985
0.99,1,1.659984
0.92,8,1.659984
0.97,3,1.660984
0.98,2,1.660984
0.92,8,1.661984
0.92,8,1.662984
0.96,4,1.663984
0.78,22,1.663984
0.99,1,1.663984
0.96,4,1.664984
0.99,1,1.664984
0.98,2,1.666984
0.93,7,1.666984
0.93,7,1.667984
0.83,17,1.667984
0.97,3,1.668983
0.89,11,1.669984
0.98,2,1.669984
0.95,5,1.669984
0.98,2,1.670984
0.91,9,1.671984
0.98,2,1.671984
0.97,3,1.671984
0.98,2,1.673985
0.94,6,1.673985
0.99,1,1.675034
0.62,38,1.676033
0.94,6,1.676033
0.95,5,1.677032
0.99,1,1.677032
0.98,2,1.677032
0.96,4,1.678032
0.98,2,1.678032
0.99,1,1.678032
0.9,10,1.679033
0.99,1,1.679033
0.99,1,1.679033
0.96,4,1.681032
0.96,4,1.682033
0.99,1,1.682033
0.97,3,1.685032
0.79,21,1.686032
0.93,7,1.686032
0.92,8,1.687032
0.9,10,1.687032
0.98,2,1.687032
0.98,2,1.689033
0.81,19,1.689033
0.98,2,1.689033
0.97,3,1.689033
0.99,1,1.690739
0.92,8,1.690739
0.81,19,1.690739
0.97,3,1.690739
0.97,3,1.690739
0.97,3,1.690739
0.92,8,1.690739
0.93,7,1.690739
0.96,4,1.690739
0.99,1,1.690739
0.99,1,1.690739
0.97,3,1.690739
0.83,17,1.690739
0.94,6,1.690739
0.98,2,1.690739
0.97,3,1.690739
0.97,3,1.690739
0.99,1,1.690739
0.71,29,1.690739
0.89,11,1.690739
0.96,4,1.690739
0.92,8,1.690739
0.97,3,1.690739
0.97,3,1.690739
0.97,3,1.690739
0.99,1,1.690739
0.98,2,1.707416
0.89,11,1.707416
0.97,3,1.707416
0.99,1,1.712461
0.85,15,1.712461
0.95,5,1.713469
0.91,9,1.713469
0.99,1,1.713469
0.99,1,1.714974
0.86,14,1.714974
