#{"t_start": 1732679110.8584146, "env_id": "StopOnColorGame-v0"}
r,l,t
0.0,3,320.009024
1.0,2,320.009024
0.0,1,320.022624
0.0,7,320.027689
0.0,3,320.039256
0.0,3,320.042707
0.0,2,320.042707
0.0,8,320.058933
1.0,4,320.064934
0.0,1,320.065934
1.0,10,320.079751
0.0,3,320.085752
0.0,1,320.086751
0.0,3,320.092008
1.0,1,320.093008
0.0,3,320.095008
0.0,1,320.099009
0.0,2,320.101008
0.0,20,320.121671
0.0,8,320.139384
0.0,2,320.139384
0.0,1,320.155054
0.0,9,320.171055
0.0,7,320.182053
0.0,3,320.188919
0.0,31,320.221584
0.0,5,320.24574
0.0,1,320.247348
0.0,12,320.267134
0.0,6,320.2757
0.0,1,320.276701
0.0,2,320.281701
1.0,10,320.288232
0.0,1,320.288232
1.0,9,320.310561
0.0,3,320.312561
0.0,12,320.332943
0.0,9,320.344505
0.0,3,320.350505
0.0,1,320.351505
0.0,2,320.35983
0.0,1,320.360891
0.0,1,320.361563
0.0,5,320.362812
1.0,2,320.362812
0.0,5,320.377869
0.0,10,320.392488
0.0,1,320.397486
1.0,3,320.399488
0.0,5,320.404994
1.0,5,320.404994
0.0,5,320.421593
0.0,1,320.422401
0.0,2,320.427431
1.0,1,320.428431
0.0,10,320.44229
0.0,2,320.44429
0.0,2,320.44929
0.0,3,320.451291
0.0,14,320.477207
0.0,1,320.47824
0.0,1,320.482238
1.0,2,320.484239
1.0,2,320.485238
1.0,2,320.491138
0.0,4,320.491138
0.0,5,320.504951
0.0,7,320.513961
0.0,4,320.520961
0.0,1,320.521584
0.0,2,320.521584
0.0,2,320.521584
0.0,3,320.521584
0.0,3,320.537089
0.0,3,320.544006
0.0,5,320.553005
0.0,7,320.562053
0.0,4,320.568053
0.0,1,320.569053
0.0,8,320.571564
0.0,6,320.587073
0.0,9,320.6071
0.0,1,320.6081
1.0,8,320.6171
1.0,3,320.622672
1.0,1,320.62367
0.0,2,320.62867
1.0,1,320.62967
0.0,8,320.63946
0.0,1,320.64346
0.0,3,320.646459
0.0,1,320.64746
0.0,1,320.651459
1.0,4,320.654976
0.0,14,320.676665
0.0,3,320.681665
1.0,10,320.688212
0.0,3,320.688212
0.0,1,320.688212
0.0,4,320.703716
0.0,2,320.713778
0.0,4,320.72382
1.0,4,320.727819
0.0,2,320.73482
1.0,1,320.735819
0.0,1,320.736819
1.0,1,320.738322
0.0,1,320.74333
1.0,2,320.745329
0.0,4,320.751329
