#{"t_start": 1732679110.856416, "env_id": "StopOnColorGame-v0"}
r,l,t
1.0,2,182.298486
0.0,6,182.302484
0.0,4,182.306447
0.0,3,182.308448
0.0,7,182.314031
0.0,2,182.315031
0.0,5,182.319064
1.0,11,182.331892
1.0,15,182.343211
0.0,1,182.344245
0.0,7,182.349245
0.0,5,182.353246
0.0,1,182.354248
1.0,7,182.359247
1.0,6,182.364245
0.0,4,182.367244
0.0,1,182.368247
1.0,3,182.370245
0.0,2,182.371245
1.0,4,182.374245
0.0,13,182.376586
0.0,10,182.392246
0.0,14,182.401855
0.0,1,182.402859
0.0,4,182.405855
0.0,3,182.408855
0.0,6,182.412987
0.0,1,182.413984
1.0,4,182.416986
0.0,4,182.419987
1.0,6,182.424968
1.0,3,182.426538
0.0,2,182.426538
0.0,1,182.426538
0.0,2,182.426538
1.0,3,182.426538
1.0,5,182.426538
0.0,7,182.442044
1.0,1,182.442044
0.0,2,182.448425
0.0,4,182.451444
1.0,9,182.458444
0.0,4,182.461894
1.0,8,182.461894
0.0,3,182.461894
0.0,1,182.461894
0.0,6,182.461894
0.0,2,182.476515
0.0,9,182.483524
0.0,6,182.488525
0.0,5,182.491524
0.0,1,182.492525
0.0,6,182.497472
0.0,5,182.501472
1.0,1,182.501472
1.0,1,182.502472
0.0,1,182.503472
0.0,4,182.506472
0.0,15,182.517511
0.0,2,182.519512
0.0,2,182.521512
0.0,1,182.521512
0.0,8,182.527589
1.0,3,182.53059
0.0,8,182.53659
1.0,1,182.53659
0.0,5,182.54059
0.0,2,182.54259
0.0,1,182.543172
0.0,6,182.543172
0.0,1,182.543172
1.0,1,182.543172
0.0,6,182.543172
0.0,8,182.55868
0.0,5,182.566672
1.0,7,182.566672
1.0,2,182.566672
1.0,6,182.578538
0.0,1,182.57955
1.0,6,182.583552
1.0,15,182.59455
1.0,2,182.596552
0.0,2,182.597553
0.0,1,182.59855
0.0,9,182.60455
1.0,35,182.630316
0.0,19,182.644553
0.0,1,182.644553
0.0,13,182.654556
0.0,9,182.660953
0.0,1,182.661955
0.0,6,182.665953
0.0,3,182.667953
0.0,3,182.669954
0.0,1,182.670954
0.0,20,182.676534
0.0,10,182.695092
0.0,3,182.695092
0.0,4,182.695092
0.0,3,182.695092
0.0,4,182.695092
0.0,6,182.711053
