#{"t_start": 1734309533.215802, "env_id": "None"}
r,l,t
0.99,1,70.24309
0.98,2,70.244862
0.97,3,70.244862
0.96,4,70.244862
0.94,6,70.244862
0.99,1,70.244862
0.92,8,70.244862
0.88,12,70.261451
0.99,1,70.261451
0.9,10,70.261451
0.83,17,70.261451
0.8,20,70.261451
0.99,1,70.278059
0.76,24,70.278059
0.74,26,70.278059
0.96,4,70.278059
0.85,15,70.278059
0.99,1,70.278059
0.82,18,70.294691
0.98,2,70.294691
0.86,14,70.311353
0.8,20,70.311353
0.89,11,70.328036
0.98,2,70.328036
0.82,18,70.344802
0.49,51,70.344802
0.96,4,70.344802
0.4,60,70.36148
0.95,5,70.36148
0.96,4,70.36148
0.34,66,70.377135
0.95,5,70.378083
0.21,79,70.378083
0.87,13,70.378083
0.97,3,70.378083
0.24,76,70.411355
0.85,15,70.411355
0.0,101,70.411355
0.98,2,70.428107
0.7,30,70.431933
0.84,16,70.441931
0.59,41,70.454685
0.99,1,70.455685
0.97,3,70.462286
0.03,97,70.462286
0.0,101,70.478939
0.96,4,70.501097
0.63,37,70.502097
0.97,3,70.508097
0.0,101,70.528754
0.81,19,70.528754
0.0,101,70.528754
0.98,2,70.528754
0.99,1,70.528754
0.9,10,70.545525
0.0,101,70.545525
0.99,1,70.545525
0.84,16,70.572779
0.91,9,70.578923
0.99,1,70.578923
0.96,4,70.595528
0.0,101,70.595528
0.42,58,70.595528
0.0,101,70.612454
0.96,4,70.62898
0.0,101,70.62898
0.44,56,70.646238
0.0,101,70.649238
0.0,101,70.655236
0.57,43,70.679013
0.69,31,70.719743
0.98,2,70.721743
0.47,53,70.728962
0.0,101,70.754628
-0.01,101,70.754628
0.94,6,70.764597
0.94,6,70.774597
0.49,51,70.778053
0.0,101,70.778053
0.94,6,70.778053
0.0,101,70.794762
0.9,10,70.794762
0.9,10,70.813954
0.97,3,70.813954
0.99,1,70.814953
0.97,3,70.817953
0.0,101,70.825953
0.88,12,70.832248
0.97,3,70.842916
0.0,101,70.845029
0.98,2,70.846345
0.0,101,70.846345
0.97,3,70.846345
0.32,68,70.861027
0.94,6,70.864034
0.7,30,70.87379
0.95,5,70.874791
0.88,12,70.891645
0.0,101,70.96959
0.0,101,70.996009
0.3,70,71.021617
0.0,101,71.048716
0.98,2,71.051715
0.32,68,71.052716
0.79,21,71.061419
0.0,101,71.077984
0.94,6,71.07902
0.99,1,71.08002
0.99,1,71.081019
0.86,14,71.082019
0.98,2,71.082019
0.99,1,71.08302
0.51,49,71.091018
0.81,19,71.092015
0.0,101,71.109019
0.0,101,71.113349
0.48,52,71.121347
0.0,101,71.123347
0.82,18,71.133098
0.91,9,71.133098
0.93,7,71.139329
0.95,5,71.139329
0.98,2,71.14233
0.0,101,71.143328
0.73,27,71.154324
0.99,1,71.156324
0.84,16,71.175324
0.83,17,71.179886
0.94,6,71.188885
0.71,29,71.213711
0.97,3,71.221715
0.99,1,71.222714
0.59,41,71.233105
0.57,43,71.236105
0.89,11,71.25478
0.95,5,71.26838
0.59,41,71.29238
0.9,10,71.295709
0.17,83,71.304709
0.91,9,71.309709
0.0,101,71.326519
0.0,101,71.329059
0.96,4,71.337056
0.93,7,71.344055
0.83,17,71.345685
0.73,27,71.349685
0.93,7,71.357684
0.97,3,71.371521
0.0,101,71.374511
0.96,4,71.377511
0.89,11,71.382082
0.83,17,71.385082
0.0,101,71.394084
0.86,14,71.404716
0.93,7,71.411331
0.93,7,71.422375
0.76,24,71.424375
0.0,101,71.424375
0.8,20,71.424375
0.99,1,71.426375
0.91,9,71.454079
0.81,19,71.458079
0.81,19,71.481983
0.0,101,71.483986
0.0,101,71.485985
0.79,21,71.489741
0.95,5,71.499724
0.92,8,71.500727
0.93,7,71.516246
0.86,14,71.520244
0.99,1,71.524245
0.92,8,71.528005
0.0,101,71.535041
0.94,6,71.538043
0.92,8,71.549006
0.92,8,71.557006
0.63,37,71.557006
0.41,59,71.568388
0.0,101,71.571389
0.43,57,71.582978
0.85,15,71.582978
0.99,1,71.587977
0.86,14,71.589977
0.98,2,71.590978
0.0,101,71.606641
0.35,65,71.608641
0.92,8,71.613359
0.98,2,71.616357
0.86,14,71.617357
0.38,62,71.656642
0.99,1,71.658642
0.72,28,71.67664
0.99,1,71.677937
0.62,38,71.687007
0.94,6,71.690004
0.99,1,71.691007
0.83,17,71.696675
0.95,5,71.705678
0.99,1,71.706678
0.55,45,71.707678
0.0,100,71.709678
0.27,73,71.719376
0.36,64,71.729055
0.91,9,71.729055
0.99,1,71.730052
0.9,10,71.731052
0.99,1,71.731052
0.82,18,71.747107
0.77,23,71.764854
0.99,1,71.765853
0.0,101,71.772853
0.83,17,71.774853
0.99,1,71.774853
0.0,101,71.779434
0.98,2,71.781433
0.07,93,71.790433
0.91,9,71.791433
0.98,2,71.792433
0.99,1,71.795149
0.82,18,71.795149
0.98,2,71.795149
0.5,50,71.816261
0.97,3,71.816261
0.48,52,71.818261
0.94,6,71.825262
0.73,27,71.846358
0.12,88,71.855373
0.98,2,71.857357
0.97,3,71.864043
0.99,1,71.866043
0.99,1,71.867064
0.0,101,71.874042
0.39,61,71.881644
0.98,2,71.883642
0.75,25,71.892642
0.37,63,71.899799
0.0,101,71.9008
0.99,1,71.90244
0.9,10,71.911858
0.49,51,71.912893
0.73,27,71.930882
0.87,13,71.935881
0.81,19,71.94079
0.82,18,71.950492
0.99,1,71.951814
0.53,47,71.961373
0.78,22,71.981683
0.0,101,71.983683
0.98,2,71.983683
0.55,45,71.989466
0.98,2,71.990466
0.83,17,71.992478
0.96,4,71.99353
0.95,5,72.00364
0.0,101,72.019382
0.86,14,72.022382
0.0,101,72.024382
0.95,5,72.035009
0.85,15,72.035009
0.9,10,72.042009
0.73,27,72.048709
0.99,1,72.048709
0.68,32,72.057709
0.9,10,72.061329
0.99,1,72.067399
0.98,2,72.070368
0.86,14,72.071401
0.98,2,72.072398
0.02,98,72.077399
0.36,64,72.077399
0.41,59,72.078364
0.98,2,72.078364
0.81,19,72.088618
0.92,8,72.090032
0.89,11,72.108919
0.8,20,72.108919
0.96,4,72.11735
0.78,22,72.118348
0.98,2,72.119012
0.99,1,72.124034
0.96,4,72.126696
0.05,95,72.129006
0.98,2,72.134816
0.63,37,72.146448
0.98,2,72.157525
0.9,10,72.158524
0.34,66,72.158524
0.84,16,72.161263
0.97,3,72.163307
0.98,2,72.168342
0.94,6,72.17134
0.54,46,72.182982
0.36,64,72.188684
0.99,1,72.188684
0.9,10,72.188684
0.91,9,72.189682
0.56,44,72.20187
0.97,3,72.209276
0.2,80,72.213545
0.85,15,72.22045
0.83,17,72.223632
0.99,1,72.224668
0.66,34,72.232722
0.96,4,72.232722
0.88,12,72.242761
0.86,14,72.242761
0.71,29,72.245302
0.98,2,72.245302
0.55,45,72.251114
0.65,35,72.271094
0.88,12,72.271094
0.92,8,72.274098
0.0,101,72.292181
0.8,20,72.293642
0.75,25,72.30862
0.99,1,72.31062
0.9,10,72.31062
0.97,3,72.31362
0.66,34,72.321743
0.93,7,72.321743
0.74,26,72.321743
0.95,5,72.323741
0.99,1,72.327956
0.0,101,72.330228
0.99,1,72.330228
0.71,29,72.34864
0.92,8,72.358639
0.48,52,72.373432
0.2,80,72.380284
0.94,6,72.383383
0.99,1,72.384387
0.67,33,72.390178
0.97,3,72.391223
0.75,25,72.399268
0.78,22,72.400268
0.62,38,72.401268
0.28,72,72.409007
0.56,44,72.409007
0.88,12,72.411397
0.98,2,72.411397
0.98,2,72.418506
0.8,20,72.428576
0.8,20,72.439617
0.0,101,72.440616
0.99,1,72.440616
0.77,23,72.445675
0.98,2,72.446716
0.35,65,72.448774
0.73,27,72.448774
0.92,8,72.456776
0.74,26,72.457776
0.95,5,72.457776
0.99,1,72.459416
0.99,1,72.459416
0.91,9,72.459416
0.98,2,72.464952
0.95,5,72.478456
0.93,7,72.489096
0.62,38,72.490096
0.81,19,72.495273
0.77,23,72.495273
0.65,35,72.495273
0.82,18,72.496324
0.53,47,72.504025
0.99,1,72.506026
0.94,6,72.506026
0.68,32,72.507026
0.82,18,72.538754
0.76,24,72.548372
0.68,32,72.550372
0.72,28,72.555372
0.64,36,72.555372
0.94,6,72.560371
0.62,38,72.560371
0.86,14,72.56498
0.95,5,72.56498
0.0,101,72.56598
0.59,41,72.56798
0.41,59,72.56798
0.92,8,72.56798
0.99,1,72.56998
0.96,4,72.56998
0.98,2,72.57398
0.99,1,72.57498
0.97,3,72.57598
0.97,3,72.582514
0.95,5,72.582514
0.86,14,72.591509
0.82,18,72.600152
0.92,8,72.600152
0.82,18,72.602152
0.8,20,72.612
0.73,27,72.61904
0.91,9,72.62004
0.8,20,72.621039
0.85,15,72.627897
0.8,20,72.628996
0.99,1,72.629323
0.9,10,72.637316
0.85,15,72.637316
0.95,5,72.638316
0.98,2,72.643317
0.99,1,72.644317
0.98,2,72.644317
0.48,52,72.646269
0.85,15,72.647269
0.95,5,72.652267
0.95,5,72.652267
0.99,1,72.654268
0.99,1,72.655
0.58,42,72.656007
0.98,2,72.660006
0.94,6,72.660006
0.95,5,72.661841
0.99,1,72.661841
0.98,2,72.663872
0.95,5,72.664874
0.99,1,72.668872
0.03,97,72.668872
0.6,40,72.671872
0.96,4,72.673872
0.82,18,72.67852
0.96,4,72.67852
0.99,1,72.680557
0.96,4,72.690903
0.96,4,72.691903
0.92,8,72.692902
0.99,1,72.692902
0.96,4,72.703359
0.53,47,72.706357
0.76,24,72.710358
0.62,38,72.711898
0.91,9,72.711898
0.94,6,72.712901
0.82,18,72.723418
0.91,9,72.723418
0.94,6,72.723418
0.98,2,72.728679
0.99,1,72.729681
0.97,3,72.729681
0.99,1,72.730681
0.96,4,72.738106
0.84,16,72.739109
0.4,60,72.740107
0.83,17,72.741107
0.57,43,72.748894
0.93,7,72.751968
0.77,23,72.753019
0.55,45,72.759017
0.88,12,72.761866
0.81,19,72.770917
0.86,14,72.77288
0.84,16,72.77352
0.88,12,72.77352
0.89,11,72.779713
0.93,7,72.78873
0.33,67,72.790687
0.95,5,72.802473
0.86,14,72.803472
0.97,3,72.805471
