#{"t_start": 1734309533.218619, "env_id": "None"}
r,l,t
0.99,1,90.182506
0.99,1,90.182506
0.98,2,90.183504
0.98,2,90.183504
0.97,3,90.184504
0.95,5,90.186503
0.95,5,90.186503
0.95,5,90.186503
0.97,3,90.187504
0.91,9,90.187504
0.89,11,90.188503
0.89,11,90.188503
0.97,3,90.189503
0.88,12,90.193064
0.98,2,90.193064
0.89,11,90.194063
0.86,14,90.194063
0.99,1,90.197066
0.99,1,90.197066
0.98,2,90.198063
0.97,3,90.201062
0.79,21,90.202062
0.87,13,90.202062
0.9,10,90.204062
0.97,3,90.205064
0.85,15,90.205064
0.99,1,90.206164
0.83,17,90.206227
0.94,6,90.208939
0.97,3,90.209995
0.99,1,90.209995
0.92,8,90.218539
0.74,26,90.230979
0.98,2,90.23298
0.74,26,90.236812
0.54,46,90.237812
0.47,53,90.237812
0.99,1,90.238813
0.98,2,90.242256
0.46,54,90.243267
0.56,44,90.244267
0.94,6,90.244267
0.66,34,90.247819
0.68,32,90.247819
0.99,1,90.248829
0.95,5,90.248829
0.99,1,90.250829
0.98,2,90.251829
0.94,6,90.251829
0.86,14,90.255595
0.93,7,90.25981
0.77,23,90.26081
0.96,4,90.263514
0.59,41,90.263514
0.83,17,90.264514
0.98,2,90.264514
0.96,4,90.268388
0.76,24,90.268388
0.99,1,90.268388
0.99,1,90.271399
0.93,7,90.271399
0.79,21,90.272398
0.98,2,90.272398
0.96,4,90.276485
0.96,4,90.28148
0.91,9,90.28148
0.94,6,90.292215
0.69,31,90.295226
0.22,78,90.296383
0.97,3,90.296383
0.62,38,90.296383
0.99,1,90.296383
0.72,28,90.304387
0.88,12,90.307387
0.79,21,90.308769
0.98,2,90.308769
0.99,1,90.309272
0.99,1,90.309272
0.99,1,90.311951
0.4,60,90.311951
0.82,18,90.316703
0.82,18,90.316703
0.56,44,90.317713
0.99,1,90.317713
0.99,1,90.320714
0.77,23,90.320714
0.95,5,90.321713
0.99,1,90.322714
0.88,12,90.325524
0.96,4,90.325524
0.92,8,90.326583
0.96,4,90.329582
0.95,5,90.329582
0.51,49,90.331583
0.92,8,90.334583
0.85,15,90.343036
0.95,5,90.349036
0.7,30,90.350037
0.72,28,90.353036
0.58,42,90.353036
0.84,16,90.366628
0.43,57,90.366628
0.62,38,90.367628
0.0,100,90.367628
0.98,2,90.368628
0.96,4,90.370628
0.78,22,90.371628
0.9,10,90.37522
0.97,3,90.379274
0.51,49,90.379274
0.65,35,90.380274
0.99,1,90.380274
0.88,12,90.383274
0.97,3,90.383274
0.83,17,90.384274
0.85,15,90.384274
0.99,1,90.387274
0.92,8,90.388274
0.79,21,90.394915
0.91,9,90.398916
0.11,89,90.398916
0.53,47,90.402916
0.94,6,90.403916
0.81,19,90.406916
0.99,1,90.408174
0.7,30,90.413078
0.71,29,90.423078
0.75,25,90.423078
0.98,2,90.424783
0.96,4,90.428444
0.63,37,90.430444
0.0,101,90.431445
0.72,28,90.432445
0.99,1,90.432445
0.73,27,90.435445
0.96,4,90.436445
0.97,3,90.440444
0.98,2,90.44208
0.86,14,90.448125
0.35,65,90.453124
0.93,7,90.453124
0.7,30,90.453124
0.99,1,90.456125
0.96,4,90.457125
0.74,26,90.457125
0.97,3,90.457125
0.94,6,90.464977
0.9,10,90.468978
0.13,87,90.478391
0.78,22,90.480393
0.88,12,90.481392
0.55,45,90.481392
0.33,67,90.481392
0.99,1,90.482391
0.6,40,90.482391
0.22,78,90.482391
0.96,4,90.485391
0.98,2,90.486392
0.89,11,90.490392
0.4,60,90.491446
0.89,11,90.493913
0.87,13,90.497913
0.68,32,90.497913
0.99,1,90.497913
0.95,5,90.497913
0.99,1,90.498913
0.55,45,90.501913
0.88,12,90.501913
0.94,6,90.504913
0.86,14,90.505913
0.76,24,90.505913
0.79,21,90.506913
0.98,2,90.514666
0.75,25,90.514666
0.92,8,90.514666
0.98,2,90.515666
0.98,2,90.515666
0.98,2,90.516666
0.91,9,90.520666
0.81,19,90.523666
0.88,12,90.52958
0.9,10,90.534577
0.85,15,90.534577
0.99,1,90.535579
0.81,19,90.535579
0.83,17,90.539577
0.99,1,90.542275
0.89,11,90.542275
0.49,51,90.542275
0.98,2,90.542275
0.91,9,90.542275
0.94,6,90.542275
0.82,18,90.542275
0.98,2,90.542275
0.88,12,90.542275
0.87,13,90.559147
0.74,26,90.56414
0.92,8,90.56414
0.43,57,90.569138
0.93,7,90.572106
0.84,16,90.572106
0.99,1,90.573106
0.98,2,90.574107
0.8,20,90.577105
0.82,18,90.578107
0.82,18,90.585106
0.86,14,90.585106
0.87,13,90.589105
0.85,15,90.590106
0.99,1,90.590106
0.15,85,90.592962
0.18,82,90.59696
0.95,5,90.60196
0.12,88,90.608709
0.98,2,90.609754
0.67,33,90.610754
0.7,30,90.628532
0.99,1,90.629532
0.95,5,90.634532
0.98,2,90.637532
0.09,91,90.643189
0.46,54,90.646188
0.89,11,90.647187
0.29,71,90.650188
0.51,49,90.650188
0.96,4,90.654187
0.39,61,90.654187
0.99,1,90.657188
0.98,2,90.658126
0.89,11,90.661153
0.93,7,90.661153
0.99,1,90.662153
0.52,48,90.667152
0.49,51,90.669152
0.41,59,90.670153
0.75,25,90.670153
0.89,11,90.673152
0.95,5,90.673152
0.96,4,90.674153
0.98,2,90.674736
0.71,29,90.677765
0.93,7,90.682765
0.92,8,90.686763
0.96,4,90.686763
0.97,3,90.688763
0.55,45,90.691437
0.97,3,90.691437
0.79,21,90.691951
0.82,18,90.691951
0.71,29,90.691951
0.95,5,90.694955
0.98,2,90.694955
0.97,3,90.695955
0.93,7,90.695955
0.9,10,90.698955
0.96,4,90.699955
0.59,41,90.699955
0.94,6,90.699955
0.0,101,90.699955
0.99,1,90.702955
0.99,1,90.702955
0.7,30,90.702955
0.94,6,90.703955
0.9,10,90.711534
0.9,10,90.712534
0.79,21,90.714534
0.9,10,90.715534
0.86,14,90.715534
0.96,4,90.719534
0.87,13,90.732286
0.59,41,90.736287
0.76,24,90.736287
0.37,63,90.736287
0.59,41,90.736287
0.76,24,90.739287
0.99,1,90.739287
0.98,2,90.744942
0.97,3,90.745941
0.99,1,90.748943
0.95,5,90.750943
0.88,12,90.750943
0.85,15,90.7588
0.91,9,90.759803
0.93,7,90.766801
0.88,12,90.770801
0.99,1,90.771802
0.99,1,90.771802
0.67,33,90.784248
0.99,1,90.785248
0.67,33,90.785248
0.33,67,90.793094
0.93,7,90.793094
0.55,45,90.793094
0.79,21,90.797091
0.84,16,90.81169
0.82,18,90.812689
0.0,101,90.815689
0.0,101,90.816689
0.94,6,90.817689
0.81,19,90.817689
0.95,5,90.825197
0.67,33,90.825197
0.99,1,90.825197
0.0,101,90.826247
0.24,76,90.827244
0.87,13,90.830242
0.95,5,90.830242
0.86,14,90.831242
0.89,11,90.836243
0.99,1,90.838243
0.57,43,90.843044
0.99,1,90.844042
0.99,1,90.845042
0.69,31,90.871648
0.05,95,90.881463
0.67,33,90.881463
0.73,27,90.881463
0.53,47,90.885463
0.91,9,90.890463
0.98,2,90.893511
0.86,14,90.899512
0.82,18,90.899512
0.43,57,90.902512
0.91,9,90.902512
0.98,2,90.903511
0.24,76,90.908627
0.33,67,90.911675
0.88,12,90.912674
0.87,13,90.925276
0.47,53,90.929321
0.99,1,90.93032
0.0,101,90.93432
0.96,4,90.938321
0.0,101,90.947989
0.36,64,90.952988
0.27,73,90.989305
0.48,52,90.990304
0.63,37,90.994114
0.18,82,91.012975
0.07,93,91.012975
0.98,2,91.014975
0.99,1,91.016976
0.0,101,91.02756
0.0,101,91.03156
0.0,101,91.052078
0.0,101,91.060831
0.0,101,91.075694
0.86,14,91.075694
0.97,3,91.075694
0.99,1,91.075694
0.13,87,91.103427
0.85,15,91.109426
0.0,101,91.118427
0.0,101,91.124428
0.98,2,91.125966
0.92,8,91.125966
0.0,101,91.148462
0.98,2,91.152461
0.0,101,91.153461
0.0,101,91.164425
0.99,1,91.165425
0.0,101,91.170425
0.46,54,91.177228
0.0,101,91.19898
0.0,101,91.222705
0.17,83,91.222705
0.0,101,91.250932
0.97,3,91.254932
0.17,83,91.258553
0.0,101,91.268595
0.98,2,91.270595
0.03,97,91.273594
0.91,9,91.283385
0.0,101,91.289384
0.0,101,91.293909
0.0,101,91.300909
0.21,79,91.317552
0.0,101,91.321554
0.0,101,91.353231
0.0,101,91.391471
0.0,101,91.396105
0.0,101,91.409698
0.9,10,91.420696
0.0,101,91.421696
0.21,79,91.431464
0.0,101,91.435466
0.0,101,91.438465
0.0,101,91.448173
0.0,101,91.465137
0.0,101,91.48882
0.0,101,91.522645
0.0,101,91.527122
0.0,101,91.5581
0.0,101,91.560622
0.0,101,91.562622
0.0,101,91.566622
0.0,101,91.570622
0.0,101,91.576238
0.0,101,91.591236
0.56,44,91.612607
0.0,101,91.614607
0.0,101,91.653251
0.0,101,91.656251
0.0,101,91.693936
0.0,101,91.699936
0.0,101,91.700936
0.99,1,91.701936
0.0,101,91.704936
0.15,85,91.709496
0.98,2,91.711496
0.0,101,91.711496
0.79,21,91.728388
0.75,25,91.739357
0.0,101,91.74738
0.0,101,91.751381
0.99,1,91.75238
0.65,35,91.76703
0.0,101,91.790288
0.0,101,91.79411
0.83,17,91.815168
0.0,101,91.821167
0.0,101,91.826767
0.99,1,91.827767
0.98,2,91.831768
0.0,101,91.832767
0.65,35,91.835767
0.0,101,91.841357
0.0,101,91.868657
0.0,101,91.874732
0.0,101,91.87928
0.0,101,91.901874
0.2,80,91.916916
0.31,69,91.916916
0.0,101,91.946465
0.0,101,91.956465
0.0,101,91.960571
0.99,1,91.961572
0.0,101,91.965571
0.33,67,91.981306
0.98,2,91.985307
0.99,1,91.986306
0.0,101,91.994919
0.99,1,91.99592
0.0,101,92.00192
0.0,101,92.011585
0.0,101,92.045924
0.0,101,92.045924
0.99,1,92.045924
0.94,6,92.053924
0.27,73,92.053924
0.21,79,92.067507
0.51,49,92.067507
0.99,1,92.068507
0.99,1,92.069507
0.0,101,92.075216
0.99,1,92.078275
0.0,101,92.089275
0.0,101,92.11354
0.0,101,92.122539
0.68,32,92.132142
0.99,1,92.135142
0.0,101,92.140141
0.0,101,92.17537
0.0,101,92.182418
0.0,101,92.182418
0.0,101,92.200219
0.0,101,92.202219
0.42,58,92.20522
0.0,101,92.211131
0.29,71,92.231828
0.99,1,92.234863
0.0,101,92.255092
0.0,101,92.271849
0.41,59,92.291392
0.0,101,92.312058
0.0,101,92.31793
0.0,101,92.31793
0.98,2,92.321926
0.0,101,92.333345
0.0,101,92.336354
0.0,101,92.337578
0.0,101,92.370665
0.0,101,92.386334
0.0,101,92.401771
0.0,101,92.42069
0.0,101,92.441353
0.0,101,92.4472
0.0,101,92.450199
0.0,101,92.467211
0.0,101,92.471209
0.0,101,92.473209
0.0,101,92.502143
0.0,101,92.516782
0.57,43,92.520782
0.99,1,92.521783
0.0,101,92.532355
0.99,1,92.535354
0.9,10,92.535354
0.99,1,92.536354
0.11,89,92.536354
0.99,1,92.536354
0.99,1,92.539356
0.0,101,92.570689
0.99,1,92.57369
0.68,32,92.57369
0.98,2,92.579319
0.0,101,92.583318
0.98,2,92.585319
0.0,101,92.585319
0.0,101,92.600177
0.0,101,92.604177
0.0,101,92.630377
0.0,101,92.645868
0.0,101,92.666805
0.0,101,92.669805
0.08,92,92.704366
0.0,101,92.708812
0.0,101,92.710905
0.51,49,92.713865
0.99,1,92.713865
0.95,5,92.715863
0.0,101,92.715863
0.0,101,92.730806
0.98,2,92.734807
0.0,101,92.734807
0.0,101,92.762534
0.6,40,92.764533
0.97,3,92.764533
0.0,101,92.802858
0.99,1,92.802858
0.0,101,92.803857
0.31,69,92.804857
0.71,29,92.808103
0.99,1,92.808677
0.67,33,92.812717
0.37,63,92.816718
0.9,10,92.817718
0.96,4,92.817718
0.0,101,92.834372
0.0,101,92.84304
0.0,101,92.84304
0.0,101,92.863512
0.9,10,92.877343
0.67,33,92.877343
0.0,101,92.935381
0.0,101,92.940375
0.0,101,92.941841
0.0,101,92.95243
0.0,101,92.95243
0.0,101,92.95243
0.0,101,92.976243
0.0,101,92.976243
0.86,14,92.995201
0.0,101,93.010808
0.0,101,93.010808
0.99,1,93.011803
0.0,101,93.065006
0.99,1,93.06863
0.0,101,93.069637
0.0,101,93.070636
0.0,101,93.082603
0.0,101,93.082603
0.0,101,93.082603
0.0,101,93.114967
0.0,101,93.138417
0.0,101,93.158561
0.0,101,93.158561
0.95,5,93.163608
0.0,101,93.216452
0.0,101,93.217452
0.99,1,93.217452
0.99,1,93.217452
0.0,101,93.220453
0.0,101,93.227182
0.0,101,93.227182
0.0,101,93.227182
0.0,101,93.252847
0.22,78,93.26248
0.68,32,93.269478
0.0,101,93.273478
0.83,17,93.291835
0.0,101,93.294873
0.0,101,93.338329
0.0,101,93.341421
0.0,101,93.342021
0.0,101,93.351072
0.0,101,93.351072
0.77,23,93.370749
0.0,101,93.382178
0.0,101,93.388178
0.62,38,93.393303
0.0,101,93.396302
0.69,31,93.420534
0.0,101,93.420534
0.0,101,93.421534
0.0,101,93.467563
0.0,101,93.478193
0.0,101,93.478193
0.94,6,93.484193
0.0,101,93.502003
0.0,101,93.513765
0.0,101,93.517765
0.99,1,93.520765
0.0,101,93.521765
0.99,1,93.521765
0.97,3,93.526315
0.0,101,93.546933
0.0,101,93.546933
0.0,101,93.547933
0.0,101,93.600901
0.59,41,93.600901
0.99,1,93.600901
0.17,83,93.615557
0.0,101,93.616557
0.51,49,93.616557
0.98,2,93.620556
0.99,1,93.621556
0.0,101,93.626463
0.99,1,93.627458
0.41,59,93.632419
0.99,1,93.633419
0.0,101,93.658008
0.81,19,93.658008
0.66,34,93.658008
0.98,2,93.660049
0.99,1,93.661052
0.99,1,93.665014
0.0,101,93.667017
0.98,2,93.672015
0.0,101,93.673015
0.98,2,93.675015
0.0,101,93.749103
0.0,101,93.758534
0.0,101,93.759581
0.0,101,93.764579
0.0,101,93.775125
0.0,101,93.793942
0.0,101,93.793942
0.0,101,93.798941
0.0,101,93.803941
0.0,101,93.808538
0.0,101,93.882088
0.0,101,93.888086
0.0,100,93.889086
0.0,101,93.893875
0.0,101,93.905875
0.0,101,93.920527
0.0,101,93.920527
0.97,3,93.925143
0.0,101,93.926192
0.0,101,93.931191
0.0,101,93.935191
0.53,47,93.943885
0.66,34,93.96793
0.6,40,93.979458
0.23,77,93.992431
0.71,29,94.002436
0.99,1,94.002436
0.0,101,94.006436
0.0,101,94.016045
0.0,101,94.031154
0.0,101,94.052057
0.0,101,94.057056
0.99,1,94.060648
0.0,101,94.061647
0.98,2,94.065647
0.95,5,94.070647
0.45,55,94.070647
0.99,1,94.071648
0.0,101,94.071648
0.0,101,94.107031
0.0,101,94.125131
0.0,101,94.142879
0.98,2,94.146878
0.0,101,94.151879
0.98,2,94.153877
