#{"t_start": 1734309533.2093298, "env_id": "None"}
r,l,t
0.98,2,0.05068
0.97,3,0.051726
0.97,3,0.051726
0.96,4,0.053724
0.96,4,0.053724
0.99,1,0.053724
0.94,6,0.056639
0.98,2,0.056639
0.97,3,0.056639
0.97,3,0.056639
0.9,10,0.056639
0.94,6,0.056639
0.9,10,0.056639
0.99,1,0.056639
0.92,8,0.056639
0.99,1,0.056639
0.93,7,0.071229
0.78,22,0.072292
0.89,11,0.072292
0.9,10,0.072292
0.88,12,0.072292
0.98,2,0.072292
0.99,1,0.072292
0.98,2,0.086893
0.92,8,0.095894
0.71,29,0.096895
0.69,31,0.102894
0.7,30,0.102894
0.94,6,0.104893
0.98,2,0.106892
0.97,3,0.106892
0.99,1,0.108892
0.61,39,0.114892
0.87,13,0.119286
0.96,4,0.119286
0.81,19,0.119286
0.69,31,0.119286
0.94,6,0.119286
0.89,11,0.119286
0.88,12,0.134914
0.76,24,0.135902
0.31,69,0.135902
0.93,7,0.135902
0.92,8,0.135902
0.52,48,0.135902
0.26,74,0.135902
0.97,3,0.135902
0.92,8,0.135902
0.77,23,0.135902
0.92,8,0.135902
0.93,7,0.135902
0.96,4,0.135902
0.98,2,0.135902
0.98,2,0.135902
0.95,5,0.152611
0.92,8,0.158282
0.92,8,0.158282
0.97,3,0.15952
0.97,3,0.160868
0.98,2,0.160868
0.9,10,0.160868
0.91,9,0.160868
0.68,32,0.160868
0.98,2,0.169216
0.75,25,0.170524
0.93,7,0.173521
0.87,13,0.176521
0.81,19,0.178521
0.39,61,0.179521
0.78,22,0.181521
0.98,2,0.183521
0.91,9,0.18452
0.86,14,0.185993
0.08,92,0.190015
0.95,5,0.190015
0.78,22,0.192014
0.98,2,0.193014
0.65,35,0.198016
0.92,8,0.198016
0.94,6,0.202788
0.92,8,0.202788
0.93,7,0.202788
0.64,36,0.202788
0.9,10,0.221283
0.53,47,0.225964
0.76,24,0.227964
0.64,36,0.228964
0.8,20,0.228964
0.9,10,0.229965
0.67,33,0.233964
0.82,18,0.238415
0.89,11,0.238415
0.86,14,0.238415
0.52,48,0.238415
0.98,2,0.238415
0.97,3,0.238415
0.99,1,0.238415
0.84,16,0.252529
0.91,9,0.256536
0.87,13,0.256536
0.83,17,0.258535
0.99,1,0.258535
0.95,5,0.258535
0.99,1,0.259536
0.67,33,0.260536
0.7,30,0.261535
0.96,4,0.263535
0.94,6,0.266536
0.85,15,0.266536
0.67,33,0.273389
0.44,56,0.275205
0.98,2,0.277259
0.84,16,0.279258
0.97,3,0.279258
0.9,10,0.280259
0.81,19,0.286033
0.76,24,0.287351
0.93,7,0.287351
0.86,14,0.287351
0.96,4,0.287351
0.65,35,0.287351
0.98,2,0.287351
0.37,63,0.303574
0.77,23,0.304572
0.95,5,0.304572
0.77,23,0.305572
0.69,31,0.305572
0.98,2,0.306575
0.97,3,0.307574
0.98,2,0.308574
0.82,18,0.309573
0.58,42,0.310574
0.97,3,0.310574
0.99,1,0.310574
0.98,2,0.312573
0.91,9,0.314573
0.95,5,0.315573
0.97,3,0.317573
0.93,7,0.321449
0.82,18,0.322448
0.93,7,0.323449
0.46,54,0.325449
0.68,32,0.326448
0.69,31,0.331448
0.87,13,0.334579
0.86,14,0.338511
0.82,18,0.340512
0.7,30,0.340512
0.56,44,0.344511
0.99,1,0.345511
0.9,10,0.349512
0.92,8,0.353529
0.81,19,0.356527
0.48,52,0.358527
0.88,12,0.360527
0.96,4,0.362527
0.89,11,0.363527
0.99,1,0.363527
0.59,41,0.364527
0.74,26,0.364527
0.64,36,0.364527
0.99,1,0.365527
0.98,2,0.365527
0.99,1,0.366527
0.97,3,0.366527
0.51,49,0.367527
0.96,4,0.369301
0.36,64,0.369301
0.97,3,0.369301
0.88,12,0.369301
0.89,11,0.369301
0.99,1,0.369301
0.97,3,0.369301
0.5,50,0.369301
0.81,19,0.369301
0.99,1,0.369301
0.99,1,0.369301
0.81,19,0.369301
0.99,1,0.385964
0.8,20,0.390864
0.97,3,0.393333
0.86,14,0.393333
0.77,23,0.393333
0.9,10,0.393333
0.97,3,0.393333
0.98,2,0.393333
0.6,40,0.393333
0.95,5,0.393333
0.93,7,0.404815
0.56,44,0.407815
0.8,20,0.408815
0.77,23,0.409815
0.92,8,0.413815
0.85,15,0.413815
0.99,1,0.415816
0.81,19,0.418816
0.69,31,0.418816
0.93,7,0.422417
0.96,4,0.423417
0.75,25,0.426416
0.82,18,0.429416
0.99,1,0.430417
0.78,22,0.431416
0.39,61,0.434416
0.97,3,0.435908
0.57,43,0.435908
0.99,1,0.435908
0.88,12,0.435908
0.72,28,0.435908
0.79,21,0.435908
0.94,6,0.435908
0.89,11,0.435908
0.91,9,0.435908
