#{"t_start": 1734309366.4216466, "env_id": "None"}
r,l,t
0.99,1,66.159002
0.99,1,66.159002
0.99,1,66.159002
0.99,1,66.159002
0.99,1,66.160012
0.99,1,66.160012
0.98,2,66.16177
0.99,1,66.16177
0.99,1,66.16177
0.99,1,66.162802
0.98,2,66.162802
0.97,3,66.164475
0.98,2,66.164475
0.95,5,66.164475
0.95,5,66.164475
0.98,2,66.164475
0.95,5,66.164475
0.95,5,66.164475
0.98,2,66.164475
0.99,1,66.164475
0.98,2,66.164475
0.99,1,66.164475
0.99,1,66.164475
0.93,7,66.175589
0.96,4,66.175589
0.9,10,66.18131
0.95,5,66.18131
0.94,6,66.18131
0.99,1,66.18131
0.94,6,66.18131
0.93,7,66.18131
0.94,6,66.194258
0.87,13,66.195259
0.89,11,66.195726
0.99,1,66.195726
0.79,21,66.195726
0.91,9,66.195726
0.96,4,66.195726
0.86,14,66.195726
0.89,11,66.195726
0.98,2,66.208944
0.95,5,66.208944
0.99,1,66.211609
0.94,6,66.211609
0.87,13,66.211609
0.96,4,66.211609
0.92,8,66.211609
0.93,7,66.226696
0.71,29,66.226696
0.96,4,66.226696
0.99,1,66.227699
0.93,7,66.227699
0.97,3,66.229697
0.98,2,66.229697
0.98,2,66.229697
0.97,3,66.229697
0.97,3,66.236697
0.99,1,66.237697
0.96,4,66.237697
0.8,20,66.242651
0.83,17,66.242651
0.71,29,66.242651
0.98,2,66.244674
0.98,2,66.244674
0.99,1,66.245675
0.86,14,66.246675
0.89,11,66.250675
0.93,7,66.250675
0.82,18,66.253675
0.74,26,66.253675
0.95,5,66.254675
0.99,1,66.254675
0.99,1,66.255675
0.89,11,66.255675
0.98,2,66.255675
0.99,1,66.255675
0.98,2,66.259107
0.88,12,66.259107
0.95,5,66.259107
0.89,11,66.274757
0.99,1,66.274757
0.93,7,66.275662
0.88,12,66.276583
0.87,13,66.277729
0.95,5,66.277729
0.79,21,66.277729
0.9,10,66.277729
0.92,8,66.277729
0.96,4,66.277729
0.99,1,66.277729
0.94,6,66.294609
0.89,11,66.296609
0.9,10,66.301609
0.85,15,66.302609
0.9,10,66.30461
0.99,1,66.309114
0.78,22,66.310138
0.95,5,66.310138
0.9,10,66.312137
0.71,29,66.313137
0.97,3,66.314137
0.96,4,66.314137
0.99,1,66.318137
0.99,1,66.318137
0.99,1,66.320138
0.97,3,66.320138
0.99,1,66.320138
0.96,4,66.320138
0.82,18,66.321137
0.99,1,66.321137
0.98,2,66.322137
0.73,27,66.322137
0.99,1,66.323137
0.99,1,66.326436
0.98,2,66.326436
0.48,52,66.326436
0.95,5,66.326436
0.89,11,66.326436
0.98,2,66.326436
0.81,19,66.326436
0.93,7,66.326436
0.97,3,66.326436
0.97,3,66.326436
0.99,1,66.326436
0.98,2,66.326436
0.91,9,66.326436
0.97,3,66.326436
0.9,10,66.326436
0.94,6,66.326436
0.78,22,66.326436
0.98,2,66.326436
0.99,1,66.326436
0.93,7,66.342352
0.95,5,66.342352
0.99,1,66.342352
0.9,10,66.342352
0.98,2,66.342352
0.99,1,66.342352
0.97,3,66.342352
0.96,4,66.342352
0.99,1,66.342352
0.89,11,66.35902
0.97,3,66.35902
0.83,17,66.35902
0.99,1,66.35902
0.91,9,66.35902
0.99,1,66.35902
0.98,2,66.35902
0.79,21,66.35902
0.98,2,66.35902
0.8,20,66.35902
0.83,17,66.35902
0.95,5,66.375686
0.95,5,66.375686
0.92,8,66.375686
0.89,11,66.375686
0.99,1,66.375686
0.78,22,66.375686
0.99,1,66.391315
0.98,2,66.393111
0.92,8,66.393111
0.94,6,66.394808
0.77,23,66.394808
0.99,1,66.394808
0.97,3,66.394808
0.98,2,66.394808
0.94,6,66.394808
0.99,1,66.394808
0.69,31,66.394808
0.99,1,66.394808
0.99,1,66.394808
0.99,1,66.394808
0.97,3,66.394808
0.97,3,66.394808
0.99,1,66.394808
0.99,1,66.394808
0.85,15,66.409629
0.99,1,66.411657
0.97,3,66.412657
0.96,4,66.413657
0.99,1,66.414657
0.98,2,66.414657
0.99,1,66.419657
0.91,9,66.420657
0.89,11,66.420657
0.97,3,66.422657
0.98,2,66.422657
0.94,6,66.428013
0.89,11,66.428013
0.89,11,66.430012
0.87,13,66.430012
0.99,1,66.431013
0.94,6,66.432012
0.68,32,66.432012
0.9,10,66.437013
0.97,3,66.438013
0.74,26,66.438013
0.91,9,66.440012
0.72,28,66.443056
0.99,1,66.443056
0.95,5,66.443056
0.86,14,66.443056
0.99,1,66.443056
0.98,2,66.443056
0.98,2,66.443056
0.85,15,66.443056
0.99,1,66.443056
0.96,4,66.443056
0.98,2,66.443056
0.87,13,66.459062
0.99,1,66.459062
0.83,17,66.459062
0.99,1,66.459062
0.98,2,66.459062
0.95,5,66.459062
0.97,3,66.459062
0.82,18,66.459062
0.99,1,66.459062
0.95,5,66.459062
0.99,1,66.459062
0.99,1,66.474692
0.99,1,66.474692
0.99,1,66.475698
0.89,11,66.475698
0.84,16,66.475698
0.87,13,66.475698
0.99,1,66.475698
0.71,29,66.475698
0.93,7,66.475698
0.9,10,66.475698
0.96,4,66.475698
0.62,38,66.475698
0.92,8,66.492347
0.99,1,66.492347
0.97,3,66.492347
0.84,16,66.492347
0.99,1,66.492347
0.92,8,66.492347
0.99,1,66.492347
0.91,9,66.492347
0.99,1,66.492347
0.98,2,66.492347
0.96,4,66.492347
0.92,8,66.492347
0.99,1,66.492347
0.96,4,66.510598
0.58,42,66.510598
0.96,4,66.510598
0.98,2,66.510968
0.88,12,66.510968
0.99,1,66.510968
0.99,1,66.510968
0.94,6,66.510968
0.99,1,66.510968
0.98,2,66.510968
0.99,1,66.510968
0.94,6,66.510968
0.93,7,66.510968
0.99,1,66.510968
0.83,17,66.510968
0.99,1,66.510968
0.97,3,66.510968
0.99,1,66.510968
0.98,2,66.510968
0.91,9,66.510968
0.85,15,66.510968
0.99,1,66.527877
0.8,20,66.528877
0.93,7,66.529877
0.99,1,66.529877
0.97,3,66.530877
0.98,2,66.531877
0.93,7,66.531877
0.97,3,66.536878
0.9,10,66.537878
0.99,1,66.538878
0.96,4,66.538878
0.78,22,66.539877
0.92,8,66.539877
0.91,9,66.544444
0.96,4,66.545444
0.96,4,66.545444
0.96,4,66.546443
0.99,1,66.546443
0.94,6,66.547444
0.85,15,66.548444
0.97,3,66.548444
0.93,7,66.552444
0.99,1,66.552444
0.96,4,66.553444
0.81,19,66.553444
0.98,2,66.553444
0.93,7,66.554444
0.93,7,66.556444
0.99,1,66.559774
0.96,4,66.559774
0.93,7,66.559774
0.96,4,66.559774
0.94,6,66.559774
0.99,1,66.559774
0.98,2,66.559774
0.74,26,66.559774
0.91,9,66.559774
0.95,5,66.559774
