#{"t_start": 1734309366.4329534, "env_id": "None"}
r,l,t
0.99,1,86.930638
0.99,1,86.930638
0.99,1,86.930638
0.98,2,86.930638
0.99,1,86.930638
0.97,3,86.946264
0.96,4,86.946264
0.99,1,86.947285
0.93,7,86.947993
0.92,8,86.947993
0.96,4,86.948683
0.99,1,86.948683
0.97,3,86.949722
0.98,2,86.949722
0.99,1,86.949722
0.93,7,86.951773
0.98,2,86.951773
0.99,1,86.951773
0.85,15,86.951773
0.84,16,86.951773
0.82,18,86.951773
0.98,2,86.951773
0.99,1,86.951773
0.81,19,86.951773
0.97,3,86.951773
0.98,2,86.951773
0.88,12,86.951773
0.93,7,86.951773
0.79,21,86.951773
0.99,1,86.951773
0.95,5,86.964015
0.78,22,86.964015
0.95,5,86.967025
0.96,4,86.968025
0.93,7,86.968025
0.99,1,86.969369
0.93,7,86.969369
0.95,5,86.969369
0.99,1,86.969369
0.99,1,86.969369
0.99,1,86.969369
0.89,11,86.969369
0.99,1,86.969369
0.99,1,86.969369
0.99,1,86.969369
0.99,1,86.969369
0.99,1,86.969369
0.77,23,86.969369
0.98,2,86.969369
0.94,6,86.969369
0.97,3,86.969369
0.85,15,86.969369
0.94,6,86.982623
0.9,10,86.984621
0.95,5,86.985024
0.72,28,86.985024
0.93,7,86.985024
0.97,3,86.985024
0.94,6,86.985024
0.8,20,86.985024
0.98,2,86.985024
0.99,1,86.985024
0.86,14,86.985024
0.93,7,86.985024
0.82,18,86.985024
0.98,2,86.985024
0.99,1,86.985024
0.99,1,86.985024
0.88,12,86.997198
0.93,7,87.000156
0.66,34,87.000156
0.89,11,87.00116
0.98,2,87.00116
0.94,6,87.00116
0.99,1,87.002156
0.99,1,87.002156
0.88,12,87.002156
0.89,11,87.004156
0.94,6,87.005124
0.98,2,87.005124
0.94,6,87.006157
0.91,9,87.006157
0.97,3,87.009124
0.92,8,87.009124
0.98,2,87.009124
0.88,12,87.010123
0.72,28,87.010123
0.98,2,87.010123
0.99,1,87.010123
0.97,3,87.011123
0.92,8,87.011123
0.92,8,87.011123
0.98,2,87.014952
0.99,1,87.014952
0.97,3,87.014952
0.99,1,87.015952
0.95,5,87.015952
0.96,4,87.015952
0.88,12,87.015952
0.86,14,87.016592
0.99,1,87.016592
0.85,15,87.016592
0.84,16,87.016592
0.85,15,87.016592
0.99,1,87.016592
0.99,1,87.016592
0.95,5,87.016592
0.83,17,87.016592
0.97,3,87.016592
0.98,2,87.032359
0.87,13,87.032359
0.99,1,87.032359
0.98,2,87.032359
