#{"t_start": 1734309366.4073398, "env_id": "None"}
r,l,t
0.99,1,0.057931
0.98,2,0.059939
0.98,2,0.059939
0.98,2,0.059939
0.98,2,0.059939
0.99,1,0.060937
0.99,1,0.062937
0.97,3,0.062937
0.96,4,0.063715
0.98,2,0.063715
0.94,6,0.063715
0.96,4,0.063715
0.94,6,0.063715
0.99,1,0.063715
0.97,3,0.063715
0.99,1,0.063715
0.98,2,0.063715
0.99,1,0.063715
0.95,5,0.063715
0.97,3,0.063715
0.99,1,0.075571
0.98,2,0.078569
0.95,5,0.078569
0.92,8,0.07957
0.92,8,0.07957
0.98,2,0.07957
0.84,16,0.07957
0.9,10,0.07957
0.83,17,0.07957
0.86,14,0.07957
0.99,1,0.07957
0.99,1,0.07957
0.98,2,0.07957
0.96,4,0.07957
0.93,7,0.07957
0.96,4,0.07957
0.98,2,0.07957
0.93,7,0.091488
0.99,1,0.091488
0.99,1,0.092525
0.96,4,0.094028
0.98,2,0.094028
0.93,7,0.094028
0.94,6,0.094028
0.74,26,0.094028
0.99,1,0.094028
0.88,12,0.094028
0.91,9,0.094028
0.99,1,0.094028
0.99,1,0.094028
0.91,9,0.107902
0.99,1,0.107902
0.98,2,0.110908
0.95,5,0.110908
0.99,1,0.111907
0.91,9,0.111907
0.95,5,0.111907
0.82,18,0.111907
0.97,3,0.111907
0.98,2,0.113907
0.99,1,0.113907
0.99,1,0.113907
0.99,1,0.113907
0.99,1,0.114907
0.99,1,0.115907
0.91,9,0.115907
0.99,1,0.116908
0.99,1,0.117908
0.88,12,0.117908
0.95,5,0.118907
0.95,5,0.118907
0.99,1,0.119907
0.92,8,0.120908
0.62,38,0.120908
0.98,2,0.122908
0.96,4,0.122908
0.91,9,0.123907
0.98,2,0.123907
0.98,2,0.124907
0.99,1,0.125908
0.93,7,0.125908
0.99,1,0.126907
0.97,3,0.126907
0.86,14,0.127908
0.97,3,0.129907
0.9,10,0.129907
0.98,2,0.129907
0.86,14,0.131907
0.99,1,0.131907
0.99,1,0.131907
0.99,1,0.132907
0.91,9,0.132907
0.91,9,0.133907
0.98,2,0.133907
0.93,7,0.134908
0.98,2,0.134908
0.98,2,0.135908
0.99,1,0.135908
0.91,9,0.135908
0.97,3,0.136908
0.69,31,0.136908
0.96,4,0.136908
0.94,6,0.138907
0.85,15,0.138907
0.99,1,0.138907
0.98,2,0.138907
0.98,2,0.138907
0.99,1,0.139908
0.94,6,0.145285
0.92,8,0.146285
0.86,14,0.146285
0.93,7,0.146285
0.99,1,0.147286
0.93,7,0.147286
0.98,2,0.148285
0.99,1,0.149285
0.87,13,0.151285
0.86,14,0.151285
0.95,5,0.153286
0.97,3,0.153286
0.87,13,0.153286
0.99,1,0.153286
0.99,1,0.153286
0.99,1,0.154285
0.83,17,0.154285
0.92,8,0.154285
0.84,16,0.158075
0.91,9,0.158075
0.97,3,0.158075
0.99,1,0.158075
0.99,1,0.158075
0.94,6,0.158075
0.92,8,0.158075
0.87,13,0.158075
0.99,1,0.158075
0.91,9,0.158075
0.98,2,0.158075
0.9,10,0.158075
0.99,1,0.158075
0.99,1,0.158075
0.89,11,0.158075
0.98,2,0.158075
0.9,10,0.158075
0.92,8,0.173701
0.97,3,0.173701
0.89,11,0.173701
0.99,1,0.174592
0.92,8,0.175997
0.98,2,0.175997
0.99,1,0.175997
0.92,8,0.175997
0.99,1,0.177034
0.93,7,0.177034
0.97,3,0.177034
0.99,1,0.177034
0.99,1,0.177648
0.93,7,0.177648
0.98,2,0.177648
0.99,1,0.177648
0.98,2,0.177648
0.8,20,0.177648
0.97,3,0.177648
0.99,1,0.177648
0.99,1,0.177648
0.99,1,0.177648
0.96,4,0.177648
0.91,9,0.177648
0.9,10,0.177648
0.92,8,0.177648
0.94,6,0.191208
0.94,6,0.192215
0.95,5,0.193213
0.99,1,0.194215
0.97,3,0.195213
0.78,22,0.195213
0.74,26,0.196213
0.78,22,0.198213
0.79,21,0.198213
0.86,14,0.198213
0.99,1,0.198213
0.96,4,0.199213
0.99,1,0.199213
0.95,5,0.200213
0.84,16,0.201213
0.97,3,0.203213
0.99,1,0.203213
0.99,1,0.204213
0.87,13,0.204213
0.93,7,0.205213
0.89,11,0.205213
0.97,3,0.206213
0.75,25,0.206213
0.99,1,0.206213
0.99,1,0.206213
0.99,1,0.207215
0.98,2,0.208522
0.96,4,0.208522
0.98,2,0.210549
0.9,10,0.210549
0.95,5,0.210549
0.89,11,0.211248
0.99,1,0.211248
0.98,2,0.211248
0.99,1,0.211248
0.95,5,0.211248
0.99,1,0.211248
0.99,1,0.211248
0.95,5,0.211248
0.95,5,0.211248
0.96,4,0.211248
0.83,17,0.211248
0.99,1,0.211248
0.98,2,0.211248
0.81,19,0.211248
0.99,1,0.211248
0.9,10,0.211248
0.95,5,0.211248
0.95,5,0.211248
0.85,15,0.211248
0.89,11,0.211248
0.98,2,0.226552
0.97,3,0.227552
0.87,13,0.227552
0.99,1,0.227552
0.99,1,0.228552
0.98,2,0.230551
0.95,5,0.230551
0.97,3,0.23255
0.99,1,0.233549
0.94,6,0.23555
0.95,5,0.236549
0.99,1,0.236549
0.79,21,0.240551
0.83,17,0.241551
0.96,4,0.241551
0.77,23,0.241551
0.85,15,0.243552
0.89,11,0.243889
0.98,2,0.243889
0.98,2,0.243889
0.98,2,0.243889
0.98,2,0.243889
0.88,12,0.243889
0.9,10,0.243889
0.98,2,0.243889
0.89,11,0.243889
0.73,27,0.243889
0.99,1,0.243889
0.94,6,0.243889
0.88,12,0.243889
0.96,4,0.243889
0.82,18,0.243889
0.99,1,0.25799
0.91,9,0.25799
0.97,3,0.263996
0.65,35,0.263996
0.97,3,0.264999
0.99,1,0.264999
0.96,4,0.265999
0.84,16,0.266999
0.95,5,0.268
0.96,4,0.268999
0.91,9,0.269526
0.96,4,0.269526
0.98,2,0.269526
0.96,4,0.269526
