#{"t_start": 1732658607.3093207, "env_id": "TimedColorGame-v0"}
r,l,t
0.99,2,401.793502
0.995,1,401.794502
0.99,2,401.797501
0.98,4,401.804503
0.97,6,401.812502
0.995,1,401.816502
0.97,6,401.827505
0.995,1,401.827505
0.99,2,401.829505
0.98,4,401.835504
0.955,9,401.850505
0.985,3,401.856505
0.995,1,401.857505
0.975,5,401.864505
0.83,34,401.924501
0.97,6,401.931535
0.9,20,401.9645
0.995,1,401.965499
0.94,12,401.988504
0.995,1,401.993503
0.99,2,401.995501
0.99,2,401.997503
0.94,12,402.0245
0.995,1,402.0245
0.99,2,402.0265
0.955,9,402.041499
0.965,7,402.054499
0.99,2,402.0565
0.995,1,402.058499
0.995,1,402.0595
0.94,12,402.082503
0.995,1,402.083503
0.94,12,402.102503
0.995,1,402.108503
0.97,6,402.1235
0.98,4,402.132504
0.92,16,402.160502
0.965,7,402.171501
0.97,6,402.179505
0.94,12,402.204502
0.99,2,402.206503
0.99,2,402.213503
0.99,2,402.215501
0.975,5,402.230502
0.98,4,402.238503
0.995,1,402.239503
0.985,3,402.2465
0.99,2,402.248502
0.95,10,402.266499
0.98,4,402.274501
0.99,2,402.276501
0.975,5,402.283501
0.96,8,402.299499
0.975,5,402.3085
0.975,5,402.3165
0.995,1,402.3175
0.985,3,402.3245
0.935,13,402.349502
0.995,1,402.3505
0.97,6,402.3645
0.975,5,402.372504
0.98,4,402.375502
0.995,1,402.3795
0.935,13,402.398499
0.985,3,402.4045
0.975,5,402.412502
0.955,9,402.427502
0.995,1,402.428503
0.905,19,402.467499
0.99,2,402.469501
0.925,15,402.4945
0.995,1,402.4955
0.98,4,402.502501
0.975,5,402.510502
0.955,9,402.524502
0.99,2,402.5265
0.955,9,402.541502
0.995,1,402.542502
0.955,9,402.561502
0.965,7,402.570502
0.995,1,402.576501
0.98,4,402.579501
0.955,9,402.596502
0.935,13,402.619503
0.995,1,402.620502
0.995,1,402.621501
0.89,22,402.666502
0.975,5,402.674504
0.995,1,402.675538
0.995,1,402.676535
0.995,1,402.677536
0.935,13,402.700536
0.995,1,402.701536
0.99,2,402.703505
0.995,1,402.709502
0.985,3,402.712503
0.97,6,402.7235
0.99,2,402.730499
0.91,18,402.761505
0.96,8,402.779536
0.995,1,402.780502
0.985,3,402.785502
0.975,5,402.793535
0.95,10,402.809536
0.99,2,402.811536
0.965,7,402.825537
0.995,1,402.826537
0.955,9,402.843501
0.87,26,402.887504
0.985,3,402.890499
0.93,14,402.9145
0.895,21,402.947502
0.99,2,402.953501
0.98,4,402.961499
0.925,15,402.995505
0.985,3,402.998505
0.965,7,403.011502
0.985,3,403.014501
0.99,2,403.019503
0.995,1,403.020504
0.985,3,403.022502
0.985,3,403.028502
0.95,10,403.044536
0.995,1,403.045535
0.96,8,403.059538
0.995,1,403.060537
0.995,1,403.061535
0.975,5,403.068504
0.99,2,403.076503
0.985,3,403.078501
0.995,1,403.079502
0.995,1,403.084502
0.995,1,403.085504
0.99,2,403.087537
0.995,1,403.088536
0.915,17,403.121499
0.995,1,403.122499
0.98,4,403.129499
0.995,1,403.130501
0.93,14,403.155503
0.99,2,403.156502
0.99,2,403.163504
0.995,1,403.164503
0.985,3,403.166502
0.965,7,403.180502
0.995,1,403.180502
0.895,21,403.218499
0.995,1,403.2195
0.965,7,403.232499
0.995,1,403.233501
0.995,1,403.2345
0.98,4,403.241501
0.93,14,403.266502
0.985,3,403.269501
0.99,2,403.276506
0.975,5,403.285501
0.985,3,403.288505
0.985,3,403.296504
0.985,3,403.303502
0.985,3,403.307502
0.98,4,403.315501
0.95,10,403.3375
0.94,12,403.355502
0.97,6,403.368502
0.99,2,403.370502
0.995,1,403.371502
0.99,2,403.378502
0.96,8,403.389503
0.97,6,403.398502
0.94,12,403.418502
0.995,1,403.419503
0.99,2,403.421502
0.975,5,403.435502
0.99,2,403.441506
0.965,7,403.450506
0.935,13,403.475502
0.94,12,403.497502
0.93,14,403.523503
0.995,1,403.524503
0.97,6,403.539504
0.985,3,403.545502
0.96,8,403.559505
0.98,4,403.562506
0.995,1,403.568502
0.995,1,403.570501
0.98,4,403.580503
0.965,7,403.590502
0.99,2,403.592502
0.985,3,403.600502
0.97,6,403.609504
0.985,3,403.615501
0.96,8,403.627503
0.96,8,403.642505
0.975,5,403.658503
0.97,6,403.6685
0.98,4,403.675499
0.975,5,403.6855
0.935,13,403.7085
0.995,1,403.710499
0.995,1,403.711499
0.97,6,403.720499
0.995,1,403.720499
0.995,1,403.725501
0.995,1,403.725501
0.995,1,403.726503
0.995,1,403.727501
0.97,6,403.735503
0.99,2,403.7415
0.95,10,403.760501
0.99,2,403.762499
0.905,19,403.792501
0.98,4,403.7995
0.92,16,403.826501
0.995,1,403.828501
0.995,1,403.8295
0.97,6,403.843501
0.955,9,403.855501
0.97,6,403.874502
0.995,1,403.875503
0.985,3,403.877503
0.995,1,403.881503
0.995,1,403.882501
0.995,1,403.883501
0.99,2,403.88551
0.975,5,403.894503
0.99,2,403.899501
0.995,1,403.900502
0.91,18,403.930501
0.985,3,403.932502
0.995,1,403.933502
0.995,1,403.937504
0.97,6,403.947502
0.915,17,403.9825
0.95,10,404.000499
0.99,2,404.007501
0.975,5,404.015499
0.99,2,404.017499
0.915,17,404.0445
0.965,7,404.058502
0.995,1,404.058502
0.985,3,404.064502
0.91,18,404.098501
0.995,1,404.099503
0.975,5,404.108505
0.98,4,404.114505
0.995,1,404.115505
0.995,1,404.119505
0.975,5,404.126505
0.985,3,404.129505
0.995,1,404.130505
0.96,8,404.144502
0.995,1,404.145501
0.995,1,404.146502
0.985,3,404.152506
0.94,12,404.170505
0.98,4,404.177501
