#{"t_start": 1732658607.30632, "env_id": "TimedColorGame-v0"}
r,l,t
0.995,1,236.982588
0.905,19,237.034858
0.98,4,237.045968
0.97,6,237.050479
0.99,2,237.058715
0.995,1,237.066718
0.995,1,237.066718
0.91,18,237.115077
0.915,17,237.142205
0.975,5,237.149715
0.98,4,237.149715
0.97,6,237.159264
0.98,4,237.159264
0.98,4,237.159264
0.95,10,237.173773
0.98,4,237.173773
0.91,18,237.210715
0.975,5,237.220916
0.995,1,237.221995
0.97,6,237.229249
0.955,9,237.237291
0.99,2,237.24221
0.995,1,237.24221
0.95,10,237.253816
0.91,18,237.269651
0.835,33,237.292852
0.995,1,237.292852
0.985,3,237.301394
0.995,1,237.301394
0.925,15,237.325316
0.995,1,237.325316
0.99,2,237.325316
0.99,2,237.325316
0.97,6,237.333354
0.95,10,237.342221
0.98,4,237.349759
0.99,2,237.349759
0.985,3,237.349759
0.995,1,237.349759
0.955,9,237.359549
0.94,12,237.359549
0.985,3,237.373585
0.995,1,237.373585
0.955,9,237.373585
0.98,4,237.389218
0.93,14,237.404844
0.975,5,237.404844
0.995,1,237.404844
0.99,2,237.404844
0.995,1,237.420502
0.99,2,237.420502
0.975,5,237.426517
0.995,1,237.426933
0.995,1,237.426933
0.97,6,237.426933
0.995,1,237.426933
0.99,2,237.436477
0.945,11,237.444679
0.975,5,237.444679
0.89,22,237.469261
0.985,3,237.473945
0.97,6,237.476139
0.925,15,237.485178
0.995,1,237.485178
0.995,1,237.485178
0.93,14,237.500844
0.995,1,237.500844
0.95,10,237.50898
0.98,4,237.50898
0.89,22,237.542976
0.94,12,237.542976
0.995,1,237.542976
0.835,33,237.580735
0.98,4,237.580735
0.995,1,237.580735
0.95,10,237.592203
0.995,1,237.592203
0.995,1,237.592203
0.975,5,237.597262
0.97,6,237.597262
0.945,11,237.609692
0.99,2,237.609692
0.925,15,237.625613
0.995,1,237.625613
0.97,6,237.637155
0.995,1,237.637155
0.985,3,237.643381
0.975,5,237.643381
0.925,15,237.660977
0.95,10,237.669019
0.995,1,237.669019
0.99,2,237.669019
0.995,1,237.669019
0.995,1,237.669019
0.98,4,237.675567
0.99,2,237.677127
0.895,21,237.6927
0.99,2,237.6927
0.995,1,237.6927
0.95,10,237.701239
0.945,11,237.701239
0.9,20,237.725567
0.845,31,237.758909
0.99,2,237.758909
0.995,1,237.758909
0.985,3,237.765451
0.985,3,237.765451
0.975,5,237.773461
0.86,28,237.79266
0.965,7,237.79266
0.98,4,237.79266
0.975,5,237.805667
0.945,11,237.805667
0.995,1,237.805667
0.995,1,237.805667
0.93,14,237.821303
0.895,21,237.845669
0.975,5,237.858645
0.995,1,237.858951
0.995,1,237.858951
0.995,1,237.858951
0.99,2,237.858951
0.935,13,237.875535
0.995,1,237.875535
0.955,9,237.883072
0.855,29,237.90949
0.995,1,237.90949
0.96,8,237.923032
0.975,5,237.923032
0.95,10,237.938697
0.955,9,237.942811
0.94,12,237.959015
0.91,18,237.97681
0.995,1,237.97681
0.985,3,237.97681
0.995,1,237.97681
0.985,3,237.97681
0.98,4,237.986321
0.96,8,237.994778
0.965,7,237.994778
0.995,1,237.994778
0.985,3,238.002788
0.94,12,238.010887
0.95,10,238.018899
0.985,3,238.018899
0.985,3,238.026036
0.99,2,238.026036
0.99,2,238.026036
0.915,17,238.034545
0.995,1,238.034545
0.99,2,238.034545
0.995,1,238.034545
0.96,8,238.050181
0.985,3,238.050181
0.985,3,238.050181
0.985,3,238.050181
0.965,7,238.065806
0.99,2,238.065806
0.985,3,238.076967
0.975,5,238.076967
0.995,1,238.076967
0.97,6,238.076967
0.965,7,238.092222
0.985,3,238.092222
0.825,35,238.126329
0.995,1,238.126329
0.98,4,238.126329
0.94,12,238.142363
0.97,6,238.142363
0.955,9,238.156374
0.985,3,238.159079
0.985,3,238.159079
0.95,10,238.159079
0.935,13,238.180368
0.995,1,238.180368
0.975,5,238.188409
0.975,5,238.194115
0.995,1,238.194115
0.965,7,238.204156
0.96,8,238.20888
0.975,5,238.212437
0.985,3,238.212437
0.96,8,238.220474
0.98,4,238.228622
0.95,10,238.236661
0.985,3,238.236661
0.99,2,238.236661
0.865,27,238.252687
0.995,1,238.252687
0.965,7,238.2716
0.995,1,238.2716
0.99,2,238.281641
0.995,1,238.281641
0.995,1,238.281641
0.99,2,238.281641
0.94,12,238.293556
0.905,19,238.316661
0.995,1,238.31962
0.99,2,238.325698
0.95,10,238.343667
0.905,19,238.3728
0.995,1,238.3728
0.965,7,238.3728
0.995,1,238.3728
0.985,3,238.388394
0.975,5,238.404011
0.92,16,238.425538
0.98,4,238.428107
0.97,6,238.428107
0.945,11,238.444377
0.995,1,238.444377
0.965,7,238.452388
0.915,17,238.461169
0.995,1,238.47606
0.995,1,238.476597
0.985,3,238.476597
0.965,7,238.483603
0.99,2,238.492835
0.97,6,238.499921
0.995,1,238.50794
0.95,10,238.512076
0.99,2,238.523592
0.995,1,238.523592
0.94,12,238.531642
0.93,14,238.548026
0.915,17,238.55935
0.99,2,238.55935
0.96,8,238.576202
0.975,5,238.576202
0.995,1,238.576202
0.995,1,238.576202
0.955,9,238.592533
0.985,3,238.592533
0.995,1,238.592533
0.855,29,238.643322
0.95,10,238.651366
0.965,7,238.659553
0.975,5,238.667626
0.995,1,238.667626
0.965,7,238.676277
0.96,8,238.676277
0.895,21,238.709326
0.995,1,238.709326
0.99,2,238.709326
0.985,3,238.709326
0.99,2,238.7261
0.94,12,238.739421
0.98,4,238.742741
0.98,4,238.747819
0.94,12,238.759796
0.995,1,238.759796
0.985,3,238.759796
0.995,1,238.759796
0.965,7,238.771847
0.985,3,238.777326
0.985,3,238.779921
0.995,1,238.779921
0.955,9,238.792911
0.99,2,238.824019
0.985,3,238.824019
0.98,4,238.824019
0.98,4,238.835559
0.995,1,238.835559
0.925,15,238.843618
0.985,3,238.843618
0.995,1,238.843618
0.995,1,238.843618
0.99,2,238.858902
0.975,5,238.858902
0.99,2,238.858902
0.995,1,238.858902
0.995,1,238.858902
0.97,6,238.866956
0.985,3,238.866956
0.995,1,238.866956
0.985,3,238.875485
0.985,3,238.875485
0.995,1,238.875485
0.99,2,238.88301
0.985,3,238.88301
0.965,7,238.892889
0.965,7,238.892889
0.995,1,238.892889
0.93,14,238.922573
0.99,2,238.922573
0.965,7,238.922573
0.985,3,238.943352
0.955,9,238.953894
0.965,7,238.960251
0.995,1,238.960251
0.995,1,238.960251
0.985,3,238.960251
0.995,1,238.960251
0.995,1,238.960251
0.965,7,238.975548
0.96,8,238.978103
0.995,1,238.978103
0.955,9,238.986144
0.96,8,238.994287
0.995,1,238.994287
0.995,1,238.994287
0.995,1,238.994287
0.935,13,239.009397
0.995,1,239.009397
0.97,6,239.009397
0.98,4,239.018435
0.975,5,239.018435
0.995,1,239.018435
0.995,1,239.018435
0.99,2,239.018435
0.98,4,239.018435
0.955,9,239.035434
0.975,5,239.035434
0.995,1,239.035434
0.985,3,239.035434
0.89,22,239.060327
0.965,7,239.078382
0.96,8,239.082948
0.995,1,239.082948
0.995,1,239.082948
0.995,1,239.082948
0.94,12,239.102239
0.995,1,239.102239
0.995,1,239.102239
0.99,2,239.108569
0.98,4,239.111802
0.94,12,239.126348
0.98,4,239.13262
0.985,3,239.13262
0.97,6,239.140678
0.995,1,239.14195
0.995,1,239.14287
0.67,66,241.060676
0.88,24,241.084602
0.885,23,241.108626
0.96,8,241.108626
0.985,3,241.108626
0.95,10,241.140175
0.98,4,241.143881
0.995,1,241.143881
0.91,18,241.158824
0.975,5,241.171866
0.99,2,241.171866
0.975,5,241.17535
0.965,7,241.179926
0.935,13,241.196307
0.99,2,241.196307
0.99,2,241.196307
0.995,1,241.204316
0.98,4,241.208471
0.97,6,241.208471
0.985,3,241.208471
0.99,2,241.21998
0.995,1,241.21998
0.91,18,241.243938
0.925,15,241.25882
0.98,4,241.25882
0.975,5,241.266883
0.91,18,241.282937
0.99,2,241.282937
0.955,9,241.292993
0.995,1,241.292993
0.99,2,241.292993
0.97,6,241.292993
0.935,13,241.309216
0.945,11,241.309216
0.975,5,241.309216
0.99,2,241.322757
0.995,1,241.322757
0.995,1,241.322757
0.995,1,241.322757
0.995,1,241.322757
0.995,1,241.322757
0.98,4,241.322757
0.95,10,241.322757
0.975,5,241.338425
0.995,1,241.338425
0.995,1,241.338425
0.995,1,241.338425
0.995,1,241.338425
0.955,9,241.3587
0.995,1,241.359757
0.98,4,241.359931
0.995,1,241.359931
0.995,1,241.359931
