#{"t_start": 1732656889.9141288, "env_id": "TimedColorGame-v0"}
r,l,t
0.965,7,0.023275
0.995,1,0.024706
0.995,1,0.025715
0.9,20,0.044353
0.945,11,0.045823
0.905,19,0.060848
0.68,64,0.121725
0.915,17,0.12464
0.905,19,0.139644
0.98,4,0.139644
0.975,5,0.155272
0.99,2,0.155272
0.96,8,0.155272
0.99,2,0.155272
0.805,39,0.186525
0.99,2,0.186525
0.865,27,0.20215
0.93,14,0.217775
0.875,25,0.244423
0.965,7,0.249424
0.925,15,0.258009
0.865,27,0.27355
0.985,3,0.27355
0.99,2,0.27355
0.9,20,0.297113
0.685,63,0.341055
0.995,1,0.341055
0.955,9,0.341055
0.98,4,0.341055
0.995,1,0.341055
0.99,2,0.341055
0.995,1,0.341055
0.94,12,0.356676
0.96,8,0.356676
0.835,33,0.387926
0.92,16,0.387926
0.95,10,0.403553
0.94,12,0.419188
0.86,28,0.434801
0.965,7,0.434801
0.985,3,0.434801
0.98,4,0.434801
0.975,5,0.450426
0.99,2,0.450426
0.995,1,0.450426
0.52,96,0.512926
0.945,11,0.528555
0.98,4,0.528555
0.975,5,0.528555
0.985,3,0.528555
0.935,13,0.544177
0.995,1,0.544177
0.955,9,0.544177
0.995,1,0.544177
0.98,4,0.544177
0.69,62,0.591051
0.93,14,0.606676
0.995,1,0.606676
0.99,2,0.606676
0.97,6,0.606676
0.84,32,0.637931
0.995,1,0.637931
0.94,12,0.637931
0.87,26,0.653551
0.96,8,0.669176
0.93,14,0.669176
0.95,10,0.684801
0.9,20,0.700423
0.955,9,0.700423
0.99,2,0.700423
0.95,10,0.716018
0.91,18,0.731682
0.91,18,0.731682
0.98,4,0.747302
0.805,39,0.762926
0.95,10,0.778558
0.99,2,0.778558
0.995,1,0.778558
0.98,4,0.778558
0.985,3,0.778558
0.99,2,0.778558
0.99,2,0.794177
0.99,2,0.794177
0.97,6,0.794177
0.99,2,0.794177
0.985,3,0.794177
0.91,18,0.809802
0.905,19,0.825427
0.875,25,0.841053
0.845,31,0.85668
0.865,27,0.887926
0.74,52,0.919158
0.995,1,0.919158
0.945,11,0.934803
